Flight_Date,AircraftType,REG,OUT_FLIGHT,OUT_DATE_TIME,TOWN_TO,COUNTRY,Airline_Name,Lat_to,Lon_to,TOWN_FROM,Lat_from,Lon_from
2022-05-30 08:45:00,32A,73761,SU 1366,2022-05-30 08:45:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-30 14:35:00,32A,73767,SU 1368,2022-05-30 14:35:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-31 12:33:00,32A,73779,SU 1364,2022-05-31 12:33:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-31 14:39:00,32A,73748,SU 1368,2022-05-31 14:39:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-01 12:37:00,32A,73758,SU 1364,2022-06-01 12:37:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-01 14:36:00,32A,73167,SU 1368,2022-06-01 14:36:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-01 08:48:00,32A,73179,SU 1366,2022-06-01 08:48:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-02 08:51:00,32A,73768,SU 1366,2022-06-02 08:51:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-02 12:36:00,32A,73766,SU 1364,2022-06-02 12:36:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-02 14:44:00,32A,73755,SU 1368,2022-06-02 14:44:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-03 12:37:00,32A,73762,SU 1364,2022-06-03 12:37:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-04 08:47:00,32A,73756,SU 1366,2022-06-04 08:47:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
